,labels
captcha0,PWURV
captcha1,VUWN
captcha2,EUCHT
captcha3,8Y8EB
captcha4,HJDKC
captcha5,WJESD
captcha6,DY6TD
captcha7,E6E59
captcha8,BJX3A
captcha9,CXYR9
captcha10,43MB8
captcha11,WNX5R
captcha12,KT55Y
captcha13,YA9H4
captcha14,3CNKP
captcha15,9EN6U
captcha16,9UXM3
captcha17,RCTH9
captcha18,68JHA
captcha19,WRMSP
captcha20,PNU8C
captcha21,R6YCH
captcha22,P348W
captcha23,EKPJB
captcha24,M3NPK
captcha25,AASH8
captcha26,RSAXX
captcha27,W53NW
captcha28,CY9TS
captcha29,NYXCP
captcha30,X8PPT
captcha31,9N6T6
captcha32,RY954
captcha33,DB53V
captcha34,YMN46
captcha35,8PTMB
captcha36,483DY
captcha37,J4JMK
captcha38,PW3AA
captcha39,P8C4K
captcha40,6N6PS
captcha41,XYWUP
captcha42,Y86B8
captcha43,HD653
captcha44,4AMDS
captcha45,8WT8B
captcha46,DKARC
captcha47,8APDN
captcha48,M8N98
captcha49,SEXMX
captcha50,CKVMC
captcha51,3MK8V
captcha52,VR3ND
captcha53,CTXHU
captcha54,P4VU4
captcha55,8JN5R
captcha56,REA86
captcha57,68K66
captcha58,BX44C
captcha59,5KJAA
captcha60,6P4US
captcha61,5VB45
captcha62,UEH4V
captcha63,X9YX4
captcha64,YW4YJ
captcha65,SKKKW
captcha66,MY6AD
captcha67,CSSUV
captcha68,KE8SC
captcha69,KROBM
captcha70,YSMHN
captcha71,ANVEK
captcha72,YPNEA
captcha73,HAAUE
captcha74,ST9HV
captcha75,9WV8Y
captcha76,EEDVM
captcha77,BD5US
captcha78,BXWWC
captcha79,BDE4D
captcha80,CHJJK
captcha81,SVTA5
captcha82,VBXVR
captcha83,CYXUH
captcha84,895US
captcha85,Y4XWD
captcha86,4STUP
captcha87,RP66W
captcha88,CADH9
captcha89,MMAJP
captcha90,3T5XA
captcha91,A8KET
captcha92,XYEX9
captcha93,APRJ5
captcha94,PERCD
captcha95,ECYU3
captcha96,PXEWS
captcha97,4D58X
